category,input_text,target_text
grammar,He don't knows how to operate the printer correctly,He doesn't know how to operate the printer correctly
grammar,She go to meeting but didn't bring the file,She went to the meeting but didn't bring the file
grammar,We was planning to complete it by Monday,We were planning to complete it by Monday
grammar,The report are submitted without review,The report was submitted without review
grammar,I has been working on this since last week,I have been working on this since last week
grammar,They wasn't aware about the policy changes,They weren't aware of the policy changes
grammar,My manager told I to attend the session,My manager told me to attend the session
grammar,She send the document yesterday,She sent the document yesterday
grammar,The data was not analysed properly before submit,The data was not analyzed properly before submission
grammar,He finish the task before the deadline,He finished the task before the deadline
grammar,We working on improving our communication skill,We are working on improving our communication skills
grammar,I am responsible to handle client emails,I am responsible for handling client emails
grammar,The team have completed the assignment on time,The team has completed the assignment on time
grammar,She not attending the meeting today,She is not attending the meeting today
grammar,There is many issue with the server,There are many issues with the server
grammar,The documents was shared without my consent,The documents were shared without my consent
grammar,We was thinking to conduct training sessions,We were thinking of conducting training sessions
grammar,It have been a productive week,It has been a productive week
grammar,I doesn't have access to that file,I don't have access to that file
grammar,The analysis are not accurate,The analysis is not accurate
grammar,I completed the task but forgot send the report,I completed the task but forgot to send the report
grammar,She was late because she have missed the bus,She was late because she had missed the bus
grammar,The email was send without proper formatting,The email was sent without proper formatting
grammar,They was agree to our terms,They agreed to our terms
grammar,I will attends the seminar on Friday,I will attend the seminar on Friday
grammar,The application did not worked,The application did not work
grammar,We are discussing this issue since last week,We have been discussing this issue since last week
grammar,He working remotely for now,He is working remotely for now
grammar,This project require immediate attention,This project requires immediate attention
grammar,I was complete the report yesterday,I completed the report yesterday
grammar,The feedbacks was helpful,The feedback was helpful
grammar,We was invited for the seminar,We were invited for the seminar
grammar,She not finished the presentation yet,She has not finished the presentation yet
grammar,They is working on the update,They are working on the update
grammar,The task are assigned to the wrong team,The task was assigned to the wrong team
grammar,He go to the client meeting every Friday,He goes to the client meeting every Friday
grammar,I forget to include the attachment,I forgot to include the attachment
grammar,Their is no time for that discussion,There is no time for that discussion
grammar,The document were review before finalizing,The document was reviewed before finalizing
grammar,She works hard but her efforts wasn't noticed,She works hard but her efforts weren't noticed
grammar,I have submitted the assignment yesterdays,I submitted the assignment yesterday
grammar,The budget was not finalize on time,The budget was not finalized on time
grammar,We had went through the guidelines,We had gone through the guidelines
grammar,He do not like to work in team,He does not like to work in a team
grammar,The file you send is corrupted,The file you sent is corrupted
grammar,She give a detailed explanation in the meeting,She gave a detailed explanation in the meeting
grammar,They was discuss about the new strategy,They were discussing the new strategy
grammar,My manager told that I has to wait,My manager told me that I had to wait
grammar,The report are not completed yet,The report is not completed yet
grammar,I were trying to access the website,I was trying to access the website
grammar,input,target
grammar,She go to the market yesterday to buy vegetables.,She went to the market yesterday to buy vegetables.
grammar,The project were completed on time.,The project was completed on time.
grammar,He have finished his assignment early.,He has finished his assignment early.
grammar,They was discussing the new strategy during lunch.,They were discussing the new strategy during lunch.
grammar,I is very excited to join the new team.,I am very excited to join the new team.
grammar,The email not send because of an error.,The email was not sent because of an error.
grammar,There is several issues in the document.,There are several issues in the document.
grammar,We was planning to start the meeting earlier.,We were planning to start the meeting earlier.
grammar,He did not knew about the change in schedule.,He did not know about the change in schedule.
grammar,The team have been performing well lately.,The team has been performing well lately.
grammar,He go the task on time.,He went the task on time.
grammar,She complete the task on time.,She completed the task on time.
grammar,They do the task on time.,They did the task on time.
grammar,The manager have the task on time.,The manager had the task on time.
grammar,The team write the task on time.,The team wrote the task on time.
grammar,The report go the task on time.,The report went the task on time.
grammar,It complete the task on time.,It completed the task on time.
grammar,We do the task on time.,We did the task on time.
grammar,John have the task on time.,John had the task on time.
grammar,I write the task on time.,I wrote the task on time.
grammar,He go the task on time.,He went the task on time.
grammar,She complete the task on time.,She completed the task on time.
grammar,They do the task on time.,They did the task on time.
grammar,The manager have the task on time.,The manager had the task on time.
grammar,The team write the task on time.,The team wrote the task on time.
grammar,The report go the task on time.,The report went the task on time.
grammar,It complete the task on time.,It completed the task on time.
grammar,We do the task on time.,We did the task on time.
grammar,John have the task on time.,John had the task on time.
grammar,I write the task on time.,I wrote the task on time.
grammar,He go the task on time.,He went the task on time.
grammar,She complete the task on time.,She completed the task on time.
grammar,They do the task on time.,They did the task on time.
grammar,The manager have the task on time.,The manager had the task on time.
grammar,The team write the task on time.,The team wrote the task on time.
grammar,The report go the task on time.,The report went the task on time.
grammar,It complete the task on time.,It completed the task on time.
grammar,We do the task on time.,We did the task on time.
grammar,John have the task on time.,John had the task on time.
grammar,I write the task on time.,I wrote the task on time.
grammar,He go the task on time.,He went the task on time.
grammar,She complete the task on time.,She completed the task on time.
grammar,They do the task on time.,They did the task on time.
grammar,The manager have the task on time.,The manager had the task on time.
grammar,The team write the task on time.,The team wrote the task on time.
