Category,input_text,target_text
Style,The boy was sad and went home. (sample 13),"With a heavy heart, the boy turned away and walked home in silence. (sample 13)"
Clarity,The project which we discussed about yesterday which had many parts and needed approvals was started. (sample 25),"The project we discussed yesterday, which needed several approvals, was started. (sample 25)"
grammar,my friend like play piano.,My friend likes to play piano.
Grammar,we have went a pen.,We have gone a pen.
grammar,he can to swim.,He can swim.
grammar,she don't like fish.,She doesn't like fish.
grammar,me like chocolate.,I like chocolate.
grammar,he go to school every days.,He goes to school every day.
Style,The boy was sad and went home. (sample 1),"With a heavy heart, the boy turned away and walked home in silence. (sample 1)"
Grammar,i has a pen.,I have a pen.
Grammar,does she likes a pen.,Does she like a pen.
grammar,we was happy.,We were happy.
Grammar,does she likes a pen.,Does she like a pen.
grammar,me like chocolate.,I like chocolate.
grammar,this book very interesting.,This book is very interesting.
Grammar,She don't like go to school on Mondays. (sample 5),She doesn't like going to school on Mondays. (sample 5)
Style,The boy was sad and went home. (sample 70),"With a heavy heart, the boy turned away and walked home in silence. (sample 70)"
grammar,she don't like fish.,She doesn't like fish.
Emotion,I can't help you. (sample 57),"I’m really sorry, but I’m unable to help you right now. (sample 57)"
grammar,he go to school every days.,He goes to school every day.
Grammar,we have went a pen.,We have gone a pen.
Grammar,does she likes a pen.,Does she like a pen.
grammar,my friend like play piano.,My friend likes to play piano.
grammar,i have a cat. it white.,I have a cat. It is white.
Grammar,you was a pen.,You were a pen.
Clarity,The project which we discussed about yesterday which had many parts and needed approvals was started. (sample 67),"The project we discussed yesterday, which needed several approvals, was started. (sample 67)"
Grammar,we have went a pen.,We have gone a pen.
Grammar,i going to a pen.,I am going to a pen.
grammar,i am student.,I am a student.
grammar,he can to swim.,He can swim.
Grammar,john and me a pen.,John and I a pen.
grammar,i am student.,I am a student.
Grammar,She don't like go to school on Mondays. (sample 59),She doesn't like going to school on Mondays. (sample 59)
Grammar/Style,"Due to the fact that the project was delayed, the team had to work overtime.",The project delay caused the team to work overtime.
grammar,this book very interesting.,This book is very interesting.
Grammar,he don't has a pen.,He doesn't have a pen.
grammar,he go to school every days.,He goes to school every day.
Grammar,we have went a pen.,We have gone a pen.
grammar,he can to swim.,He can swim.
Grammar,john and me a pen.,John and I a pen.
Grammar,they is a pen.,They are a pen.
Grammar,they is a pen.,They are a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,i going to a pen.,I am going to a pen.
Grammar,john and me a pen.,John and I a pen.
Grammar,does she likes a pen.,Does she like a pen.
grammar,they has two dog.,They have two dogs.
grammar,he go to school every days.,He goes to school every day.
Grammar,he don't has a pen.,He doesn't have a pen.
grammar,this book very interesting.,This book is very interesting.
Grammar,we have went a pen.,We have gone a pen.
Emotion,I can't help you. (sample 14),"I’m really sorry, but I’m unable to help you right now. (sample 14)"
Grammar,she were a pen.,She was a pen.
grammar,they has two dog.,They have two dogs.
Grammar,he don't has a pen.,He doesn't have a pen.
grammar,i am student.,I am a student.
advanced_enhancement,We’re done for the day.,That concludes our agenda for today.
Grammar,i going to a pen.,I am going to a pen.
grammar,he can to swim.,He can swim.
Grammar,She don't like go to school on Mondays. (sample 97),She doesn't like going to school on Mondays. (sample 97)
Grammar,you was a pen.,You were a pen.
Clarity,The project which we discussed about yesterday which had many parts and needed approvals was started. (sample 56),"The project we discussed yesterday, which needed several approvals, was started. (sample 56)"
Grammar,john and me a pen.,John and I a pen.
grammar,he go to school every days.,He goes to school every day.
Grammar,you was a pen.,You were a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,i going to a pen.,I am going to a pen.
grammar,this book very interesting.,This book is very interesting.
grammar,he can to swim.,He can swim.
Emotion,I can't help you. (sample 69),"I’m really sorry, but I’m unable to help you right now. (sample 69)"
grammar,he can to swim.,He can swim.
grammar,we was happy.,We were happy.
Grammar,he go a pen.,He goes a pen.
Grammar,john and me a pen.,John and I a pen.
grammar,this book very interesting.,This book is very interesting.
Clarity,The project which we discussed about yesterday which had many parts and needed approvals was started. (sample 99),"The project we discussed yesterday, which needed several approvals, was started. (sample 99)"
Grammar,he go a pen.,He goes a pen.
grammar,i am student.,I am a student.
grammar,i have a cat. it white.,I have a cat. It is white.
grammar,she don't like fish.,She doesn't like fish.
grammar,me like chocolate.,I like chocolate.
Emotion,I can't help you. (sample 51),"I’m really sorry, but I’m unable to help you right now. (sample 51)"
grammar,they has two dog.,They have two dogs.
grammar,we was happy.,We were happy.
grammar,she don't like fish.,She doesn't like fish.
Grammar,she were a pen.,She was a pen.
grammar,she don't like fish.,She doesn't like fish.
Grammar,she were a pen.,She was a pen.
Grammar,She don't like go to school on Mondays. (sample 74),She doesn't like going to school on Mondays. (sample 74)
Grammar,you was a pen.,You were a pen.
Grammar,i going to market.,I am going to the market.
grammar,i have a cat. it white.,I have a cat. It is white.
Grammar,i has a pen.,I have a pen.
Emotion,I can't help you. (sample 36),"I’m really sorry, but I’m unable to help you right now. (sample 36)"
grammar,i have a cat. it white.,I have a cat. It is white.
grammar,they has two dog.,They have two dogs.
Grammar,i going to a pen.,I am going to a pen.
grammar,we was happy.,We were happy.
Emotion,I can't help you. (sample 95),"I’m really sorry, but I’m unable to help you right now. (sample 95)"
Grammar,you was a pen.,You were a pen.
Clarity,The project which we discussed about yesterday which had many parts and needed approvals was started. (sample 84),"The project we discussed yesterday, which needed several approvals, was started. (sample 84)"
Clarity,The project which we discussed about yesterday which had many parts and needed approvals was started. (sample 42),"The project we discussed yesterday, which needed several approvals, was started. (sample 42)"
Grammar,he go a pen.,He goes a pen.
Grammar,i has a pen.,I have a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
grammar,he go to school every days.,He goes to school every day.
Clarity,The project which we discussed about yesterday which had many parts and needed approvals was started. (sample 1),"The project we discussed yesterday, which needed several approvals, was started. (sample 1)"
Grammar,she were a pen.,She was a pen.
Grammar,does she likes a pen.,Does she like a pen.
grammar,i am student.,I am a student.
Grammar,i going to a pen.,I am going to a pen.
Style,The boy was sad and went home. (sample 80),"With a heavy heart, the boy turned away and walked home in silence. (sample 80)"
grammar,he go to school every days.,He goes to school every day.
grammar,we was happy.,We were happy.
Grammar,she were a pen.,She was a pen.
Grammar,i has a pen.,I have a pen.
Emotion,I can't help you. (sample 38),"I’m really sorry, but I’m unable to help you right now. (sample 38)"
grammar,i am student.,I am a student.
Grammar,they is a pen.,They are a pen.
Grammar,does she likes a pen.,Does she like a pen.
grammar,i have a cat. it white.,I have a cat. It is white.
grammar,they has two dog.,They have two dogs.
Emotion,I can't help you. (sample 7),"I’m really sorry, but I’m unable to help you right now. (sample 7)"
grammar,they has two dog.,They have two dogs.
Grammar,does she likes a pen.,Does she like a pen.
grammar,we was happy.,We were happy.
Grammar,you was a pen.,You were a pen.
Grammar,She don't like go to school on Mondays. (sample 35),She doesn't like going to school on Mondays. (sample 35)
Style,The boy was sad and went home. (sample 68),"With a heavy heart, the boy turned away and walked home in silence. (sample 68)"
Grammar,john and me a pen.,John and I a pen.
Grammar,i has a pen.,I have a pen.
grammar,he can to swim.,He can swim.
Grammar,She don't like go to school on Mondays. (sample 44),She doesn't like going to school on Mondays. (sample 44)
Grammar,does she likes a pen.,Does she like a pen.
grammar,he can to swim.,He can swim.
grammar,we was happy.,We were happy.
grammar,he can to swim.,He can swim.
grammar,me like chocolate.,I like chocolate.
Emotion,I can't help you. (sample 17),"I’m really sorry, but I’m unable to help you right now. (sample 17)"
Style,The boy was sad and went home. (sample 46),"With a heavy heart, the boy turned away and walked home in silence. (sample 46)"
grammar,i have a cat. it white.,I have a cat. It is white.
Style,The boy was sad and went home. (sample 55),"With a heavy heart, the boy turned away and walked home in silence. (sample 55)"
grammar,we was happy.,We were happy.
grammar,i am student.,I am a student.
Grammar,i has a pen.,I have a pen.
Grammar,i has a pen.,I have a pen.
Grammar,he go a pen.,He goes a pen.
grammar,she don't like fish.,She doesn't like fish.
Grammar,does she likes a pen.,Does she like a pen.
grammar,she don't like fish.,She doesn't like fish.
grammar,me like chocolate.,I like chocolate.
grammar,we was happy.,We were happy.
Grammar,he don't has a pen.,He doesn't have a pen.
Emotion,I can't help you. (sample 81),"I’m really sorry, but I’m unable to help you right now. (sample 81)"
grammar,this book very interesting.,This book is very interesting.
Grammar,they is a pen.,They are a pen.
grammar,he go to school every days.,He goes to school every day.
grammar,we was happy.,We were happy.
Grammar,you was a pen.,You were a pen.
Grammar,you was a pen.,You were a pen.
Style,The boy was sad and went home. (sample 69),"With a heavy heart, the boy turned away and walked home in silence. (sample 69)"
Grammar,She don't like go to school on Mondays. (sample 27),She doesn't like going to school on Mondays. (sample 27)
Grammar,he go a pen.,He goes a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
grammar,we was happy.,We were happy.
Grammar,they is a pen.,They are a pen.
Grammar,i has a pen.,I have a pen.
grammar,i am student.,I am a student.
grammar,me like chocolate.,I like chocolate.
grammar,he can to swim.,He can swim.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,she were a pen.,She was a pen.
grammar,he go to school every days.,He goes to school every day.
Emotion,I can't help you. (sample 89),"I’m really sorry, but I’m unable to help you right now. (sample 89)"
Grammar,She don't like go to school on Mondays. (sample 24),She doesn't like going to school on Mondays. (sample 24)
grammar,i am student.,I am a student.
grammar,he can to swim.,He can swim.
grammar,i am student.,I am a student.
grammar,i am student.,I am a student.
Clarity,The project which we discussed about yesterday which had many parts and needed approvals was started. (sample 83),"The project we discussed yesterday, which needed several approvals, was started. (sample 83)"
grammar,i have a cat. it white.,I have a cat. It is white.
grammar,my friend like play piano.,My friend likes to play piano.
grammar,he go to school every days.,He goes to school every day.
grammar,i am student.,I am a student.
Grammar,She don't like go to school on Mondays. (sample 32),She doesn't like going to school on Mondays. (sample 32)
Grammar,she were a pen.,She was a pen.
Style,The boy was sad and went home. (sample 76),"With a heavy heart, the boy turned away and walked home in silence. (sample 76)"
grammar,she don't like fish.,She doesn't like fish.
Grammar,we have went a pen.,We have gone a pen.
grammar,he go to school every days.,He goes to school every day.
grammar,he go to school every days.,He goes to school every day.
Grammar,i going to a pen.,I am going to a pen.
Grammar,does she likes a pen.,Does she like a pen.
Style,The boy was sad and went home. (sample 48),"With a heavy heart, the boy turned away and walked home in silence. (sample 48)"
Grammar,she were a pen.,She was a pen.
Grammar,she were a pen.,She was a pen.
Grammar,you was a pen.,You were a pen.
Style,The boy was sad and went home. (sample 86),"With a heavy heart, the boy turned away and walked home in silence. (sample 86)"
grammar,she don't like fish.,She doesn't like fish.
grammar,i have a cat. it white.,I have a cat. It is white.
grammar,he go to school every days.,He goes to school every day.
grammar,she don't like fish.,She doesn't like fish.
Grammar,i has a pen.,I have a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,you was a pen.,You were a pen.
Clarity,The project which we discussed about yesterday which had many parts and needed approvals was started. (sample 26),"The project we discussed yesterday, which needed several approvals, was started. (sample 26)"
grammar,i am student.,I am a student.
Grammar,does she likes a pen.,Does she like a pen.
grammar,he go to school every days.,He goes to school every day.
grammar,my friend like play piano.,My friend likes to play piano.
grammar,he go to school every days.,He goes to school every day.
grammar,this book very interesting.,This book is very interesting.
Grammar,She don't like go to school on Mondays. (sample 52),She doesn't like going to school on Mondays. (sample 52)
Style,The boy was sad and went home. (sample 71),"With a heavy heart, the boy turned away and walked home in silence. (sample 71)"
Emotion,I can't help you. (sample 52),"I’m really sorry, but I’m unable to help you right now. (sample 52)"
Grammar,john and me a pen.,John and I a pen.
Grammar,she were a pen.,She was a pen.
Grammar,john and me a pen.,John and I a pen.
Clarity,The project which we discussed about yesterday which had many parts and needed approvals was started. (sample 76),"The project we discussed yesterday, which needed several approvals, was started. (sample 76)"
grammar,this book very interesting.,This book is very interesting.
grammar,we was happy.,We were happy.
grammar,they has two dog.,They have two dogs.
Grammar,i has a pen.,I have a pen.
Clarity,The project which we discussed about yesterday which had many parts and needed approvals was started. (sample 54),"The project we discussed yesterday, which needed several approvals, was started. (sample 54)"
Grammar,he go a pen.,He goes a pen.
grammar,i have a cat. it white.,I have a cat. It is white.
Grammar,i has a pen.,I have a pen.
grammar,we was happy.,We were happy.
Grammar,does she likes a pen.,Does she like a pen.
Grammar,we have went a pen.,We have gone a pen.
Style,The boy was sad and went home. (sample 31),"With a heavy heart, the boy turned away and walked home in silence. (sample 31)"
Grammar,i going to a pen.,I am going to a pen.
Emotion,I can't help you. (sample 49),"I’m really sorry, but I’m unable to help you right now. (sample 49)"
Grammar,you was a pen.,You were a pen.
Grammar,she were a pen.,She was a pen.
Grammar,She don't like go to school on Mondays. (sample 20),She doesn't like going to school on Mondays. (sample 20)
grammar,he can to swim.,He can swim.
grammar,she don't like fish.,She doesn't like fish.
grammar,me like chocolate.,I like chocolate.
Grammar,they is a pen.,They are a pen.
grammar,she don't like fish.,She doesn't like fish.
Grammar,john and me a pen.,John and I a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,i going to a pen.,I am going to a pen.
Grammar,i going to a pen.,I am going to a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,She don't like go to school on Mondays. (sample 46),She doesn't like going to school on Mondays. (sample 46)
grammar,we was happy.,We were happy.
Grammar,She don't like go to school on Mondays. (sample 47),She doesn't like going to school on Mondays. (sample 47)
Grammar,i has a pen.,I have a pen.
grammar,she don't like fish.,She doesn't like fish.
Grammar,does she likes a pen.,Does she like a pen.
grammar,i have a cat. it white.,I have a cat. It is white.
Grammar,she were a pen.,She was a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
grammar,me like chocolate.,I like chocolate.
Grammar,he don't has a pen.,He doesn't have a pen.
Emotion,I can't help you. (sample 59),"I’m really sorry, but I’m unable to help you right now. (sample 59)"
grammar,he can to swim.,He can swim.
Grammar,she were a pen.,She was a pen.
grammar,i have a cat. it white.,I have a cat. It is white.
Grammar,i going to a pen.,I am going to a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,he go a pen.,He goes a pen.
Clarity,The project which we discussed about yesterday which had many parts and needed approvals was started. (sample 78),"The project we discussed yesterday, which needed several approvals, was started. (sample 78)"
Emotion,I can't help you. (sample 2),"I’m really sorry, but I’m unable to help you right now. (sample 2)"
Grammar,she were a pen.,She was a pen.
Grammar,She don't like go to school on Mondays. (sample 45),She doesn't like going to school on Mondays. (sample 45)
Emotion,I can't help you. (sample 46),"I’m really sorry, but I’m unable to help you right now. (sample 46)"
grammar,he can to swim.,He can swim.
Clarity,The project which we discussed about yesterday which had many parts and needed approvals was started. (sample 7),"The project we discussed yesterday, which needed several approvals, was started. (sample 7)"
Grammar,She don't like go to school on Mondays. (sample 93),She doesn't like going to school on Mondays. (sample 93)
Grammar,he go a pen.,He goes a pen.
Grammar,i going to a pen.,I am going to a pen.
grammar,i am student.,I am a student.
grammar,this book very interesting.,This book is very interesting.
grammar,me like chocolate.,I like chocolate.
grammar,he can to swim.,He can swim.
grammar,i have a cat. it white.,I have a cat. It is white.
grammar,my friend like play piano.,My friend likes to play piano.
Grammar,i going to a pen.,I am going to a pen.
grammar,i am student.,I am a student.
Grammar,does she likes a pen.,Does she like a pen.
Grammar,he go a pen.,He goes a pen.
Clarity,The project which we discussed about yesterday which had many parts and needed approvals was started. (sample 18),"The project we discussed yesterday, which needed several approvals, was started. (sample 18)"
Grammar,i going to a pen.,I am going to a pen.
Grammar,you was a pen.,You were a pen.
grammar,she don't like fish.,She doesn't like fish.
Grammar,i going to a pen.,I am going to a pen.
Grammar,she were a pen.,She was a pen.
Emotion,I can't help you. (sample 55),"I’m really sorry, but I’m unable to help you right now. (sample 55)"
grammar,my friend like play piano.,My friend likes to play piano.
Clarity,The project which we discussed about yesterday which had many parts and needed approvals was started. (sample 66),"The project we discussed yesterday, which needed several approvals, was started. (sample 66)"
Grammar,they is a pen.,They are a pen.
grammar,my friend like play piano.,My friend likes to play piano.
Emotion,I can't help you. (sample 94),"I’m really sorry, but I’m unable to help you right now. (sample 94)"
grammar,i am student.,I am a student.
grammar,i am student.,I am a student.
grammar,i have a cat. it white.,I have a cat. It is white.
grammar,we was happy.,We were happy.
grammar,she don't like fish.,She doesn't like fish.
Grammar,he go a pen.,He goes a pen.
Grammar,i has a pen.,I have a pen.
grammar,he can to swim.,He can swim.
Grammar,i has a pen.,I have a pen.
Grammar,does she likes a pen.,Does she like a pen.
Grammar,john and me a pen.,John and I a pen.
grammar,my friend like play piano.,My friend likes to play piano.
Grammar,She don't like go to school on Mondays. (sample 16),She doesn't like going to school on Mondays. (sample 16)
Grammar,john and me a pen.,John and I a pen.
Grammar,you was a pen.,You were a pen.
grammar,she don't like fish.,She doesn't like fish.
Grammar,She don't like go to school on Mondays. (sample 48),She doesn't like going to school on Mondays. (sample 48)
Grammar,we have went a pen.,We have gone a pen.
grammar,this book very interesting.,This book is very interesting.
Grammar,they is a pen.,They are a pen.
Grammar,they is a pen.,They are a pen.
grammar,i have a cat. it white.,I have a cat. It is white.
Grammar,i going to a pen.,I am going to a pen.
grammar,my friend like play piano.,My friend likes to play piano.
Grammar,we have went a pen.,We have gone a pen.
Emotion,I can't help you. (sample 28),"I’m really sorry, but I’m unable to help you right now. (sample 28)"
grammar,i am student.,I am a student.
grammar,i have a cat. it white.,I have a cat. It is white.
Grammar,he go a pen.,He goes a pen.
grammar,he go to school every days.,He goes to school every day.
grammar,they has two dog.,They have two dogs.
grammar,he go to school every days.,He goes to school every day.
grammar,i am student.,I am a student.
Grammar,he don't has a pen.,He doesn't have a pen.
grammar,my friend like play piano.,My friend likes to play piano.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
grammar,he go to school every days.,He goes to school every day.
Grammar,they is a pen.,They are a pen.
grammar,i am student.,I am a student.
grammar,he go to school every days.,He goes to school every day.
grammar,we was happy.,We were happy.
grammar,i have a cat. it white.,I have a cat. It is white.
Grammar,she were a pen.,She was a pen.
grammar,this book very interesting.,This book is very interesting.
Grammar,they is happy today.,They are happy today.
Grammar,i has a pen.,I have a pen.
grammar,me like chocolate.,I like chocolate.
grammar,he can to swim.,He can swim.
Grammar,she were a pen.,She was a pen.
Grammar,She don't like go to school on Mondays. (sample 49),She doesn't like going to school on Mondays. (sample 49)
grammar,i have a cat. it white.,I have a cat. It is white.
grammar,i am student.,I am a student.
Grammar,he don't has a pen.,He doesn't have a pen.
grammar,he can to swim.,He can swim.
Grammar,i going to a pen.,I am going to a pen.
Grammar,he don't has a pen.,He doesn't have a pen.
Emotion,I can't help you. (sample 84),"I’m really sorry, but I’m unable to help you right now. (sample 84)"
grammar,she don't like fish.,She doesn't like fish.
grammar,i am student.,I am a student.
grammar,we was happy.,We were happy.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,john and me a pen.,John and I a pen.
grammar,i have a cat. it white.,I have a cat. It is white.
grammar,my friend like play piano.,My friend likes to play piano.
Grammar,i going to a pen.,I am going to a pen.
grammar,me like chocolate.,I like chocolate.
Grammar,he don't has a pen.,He doesn't have a pen.
grammar,my friend like play piano.,My friend likes to play piano.
Grammar,i going to a pen.,I am going to a pen.
Grammar,he go a pen.,He goes a pen.
Grammar,does she likes a pen.,Does she like a pen.
grammar,this book very interesting.,This book is very interesting.
advanced_enhancement,"He don’t likes going out when it rains, so he stay indoor.","He doesn’t like going out when it rains, so he stays indoors."
grammar,me like chocolate.,I like chocolate.
grammar,i have a cat. it white.,I have a cat. It is white.
Grammar,she were a pen.,She was a pen.
grammar,i am student.,I am a student.
Grammar,they is a pen.,They are a pen.
Style,The boy was sad and went home. (sample 57),"With a heavy heart, the boy turned away and walked home in silence. (sample 57)"
Grammar,he go a pen.,He goes a pen.
Grammar,does she likes a pen.,Does she like a pen.
Grammar,She don't like go to school on Mondays. (sample 62),She doesn't like going to school on Mondays. (sample 62)
Grammar,you was a pen.,You were a pen.
grammar,this book very interesting.,This book is very interesting.
Grammar,they is a pen.,They are a pen.
Grammar,She don't like go to school on Mondays. (sample 100),She doesn't like going to school on Mondays. (sample 100)
Grammar,he don't has a pen.,He doesn't have a pen.
grammar,i am student.,I am a student.
Clarity,The project which we discussed about yesterday which had many parts and needed approvals was started. (sample 22),"The project we discussed yesterday, which needed several approvals, was started. (sample 22)"
Clarity,The project which we discussed about yesterday which had many parts and needed approvals was started. (sample 98),"The project we discussed yesterday, which needed several approvals, was started. (sample 98)"
Grammar/Style,I don't care what you think.,"I understand your point, but I feel differently."
Grammar,you was a pen.,You were a pen.
Grammar,he go a pen.,He goes a pen.
grammar,he can to swim.,He can swim.
grammar,we was happy.,We were happy.
Grammar,he go a pen.,He goes a pen.
Grammar,you was a pen.,You were a pen.
advanced_enhancement,The weather was bad so we stayed home.,"Due to inclement weather, we opted to remain indoors."
grammar,i have a cat. it white.,I have a cat. It is white.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,he go a pen.,He goes a pen.
grammar,this book very interesting.,This book is very interesting.
grammar,my friend like play piano.,My friend likes to play piano.
grammar,he go to school every days.,He goes to school every day.
Grammar,she were a pen.,She was a pen.
grammar,we was happy.,We were happy.
grammar,me like chocolate.,I like chocolate.
grammar,i have a cat. it white.,I have a cat. It is white.
grammar,my friend like play piano.,My friend likes to play piano.
grammar,i am student.,I am a student.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,she were a pen.,She was a pen.
grammar,she don't like fish.,She doesn't like fish.
grammar,he go to school every days.,He goes to school every day.
Grammar,he don't has a pen.,He doesn't have a pen.
Grammar,she were a pen.,She was a pen.
grammar,she don't like fish.,She doesn't like fish.
Grammar,i has a pen.,I have a pen.
Grammar,She don't like go to school on Mondays. (sample 76),She doesn't like going to school on Mondays. (sample 76)
grammar,i am student.,I am a student.
grammar,he can to swim.,He can swim.
grammar,i have a cat. it white.,I have a cat. It is white.
Grammar,does she likes a pen.,Does she like a pen.
Grammar,i has a pen.,I have a pen.
grammar,my friend like play piano.,My friend likes to play piano.
Clarity,The project which we discussed about yesterday which had many parts and needed approvals was started. (sample 62),"The project we discussed yesterday, which needed several approvals, was started. (sample 62)"
Grammar,he go a pen.,He goes a pen.
Clarity,The project which we discussed about yesterday which had many parts and needed approvals was started. (sample 12),"The project we discussed yesterday, which needed several approvals, was started. (sample 12)"
grammar,he can to swim.,He can swim.
grammar,she don't like fish.,She doesn't like fish.
Grammar,john and me a pen.,John and I a pen.
Grammar,She don't like go to school on Mondays. (sample 18),She doesn't like going to school on Mondays. (sample 18)
Grammar,he don't has a pen.,He doesn't have a pen.
grammar,i have a cat. it white.,I have a cat. It is white.
grammar,he can to swim.,He can swim.
Grammar,they is a pen.,They are a pen.
Grammar,does she likes a pen.,Does she like a pen.
Clarity,The project which we discussed about yesterday which had many parts and needed approvals was started. (sample 28),"The project we discussed yesterday, which needed several approvals, was started. (sample 28)"
grammar,i have a cat. it white.,I have a cat. It is white.
grammar,we was happy.,We were happy.
grammar,me like chocolate.,I like chocolate.
Grammar,he go a pen.,He goes a pen.
grammar,i am student.,I am a student.
grammar,she don't like fish.,She doesn't like fish.
grammar,i have a cat. it white.,I have a cat. It is white.
Grammar,they is a pen.,They are a pen.
grammar,they has two dog.,They have two dogs.
Style,The boy was sad and went home. (sample 12),"With a heavy heart, the boy turned away and walked home in silence. (sample 12)"
Grammar,john and me a pen.,John and I a pen.
Grammar,i going to a pen.,I am going to a pen.
Grammar,we have went a pen.,We have gone a pen.
Grammar,they is a pen.,They are a pen.
Emotion,I can't help you. (sample 1),"I’m really sorry, but I’m unable to help you right now. (sample 1)"
